PropertyID,Category,Price,area,Rate/sqft,Posted Date
137566,Apartment,15350000,1326.0 sq.ft.,11576,2024-12-10
169715,Apartment,13800000,1326.0 sq.ft.,10407,2025-03-25
160690,Apartment,16000000,1390.0 sq.ft.,11510,2025-04-06
153709,Apartment,15800000,1326.0 sq.ft.,11915,2025-01-15
215685,Apartment,15000000,1326.0 sq.ft. | 900.0 sq.ft.,12106,2024-10-14
148084,Other,15500000,1360.0 sq.ft.,11397,2025-03-10
135804,Apartment,15000000,1326.0 sq.ft.,11312,2025-02-04
155820,Plot,15555555,1326.0 sq.ft.,11731,2025-01-16
190862,Apartment,14500000,1326.0 sq.ft.,10935,2024-09-30
100723,Apartment,14500000,1326.0 sq.ft. | 1140.0 sq.ft.,10935,2025-02-22
181771,Apartment,16500000,1400.0 sq.ft. | 1350.0 sq.ft. | 1326.0 sq.ft.,11785,2024-11-14
137820,Apartment,16000000,1326.0 sq.ft.,12066,2024-12-20
139064,Apartment,15500000,1390.0 sq.ft.,11151,2025-04-08
150566,Apartment,14800000,1326.0 sq.ft.,11161,2025-05-05
190351,Apartment,15000000,1326.0 sq.ft.,11312,2024-10-16
196794,Apartment,15000000,1326.0 sq.ft.,11312,2024-11-21
197032,Apartment,14100000,1326.0 sq.ft. | 1105.0 sq.ft.,10633,2024-11-14
55009,Apartment,14000000,1326.0 sq.ft.,10558,2025-03-07
169259,Apartment,15500000,1326.0 sq.ft.,11689,2025-04-29
157662,Apartment,15200000,1326.0 sq.ft. | 1200.0 sq.ft. | 1100.0 sq.ft.,11463,2024-12-21
120531,Apartment,15800000,1390.0 sq.ft.,11366,2025-04-08
191160,Other,16500000,1326.0 sq.ft.,12443,2024-11-11
186874,Apartment,15300000,1360.0 sq.ft.,11250,2024-10-24
230133,Apartment,15250000,1326.0 sq.ft.,11500,2024-12-10
149111,Apartment,14800000,1326.0 sq.ft.,11161,2025-03-29
217573,Apartment,13500000,2060.0 sq.ft.,6310,2024-10-27
197197,Other,22200000,2040.0 sq.ft. | 1950.0 sq.ft. | 1790.0 sq.ft.,10882,2024-09-30
82330,Other,13200000,1600.0 sq.ft.,8250,2025-04-20
194067,Apartment,64171225,3775.0 sq.ft. | 2944.0 sq.ft.,21797,2024-10-27
86564,Apartment,16000000,2600.0 sq.ft. | 2400.0 sq.ft. | 2200.0 sq.ft.,6153,2025-02-10
217170,Apartment,4700000,950.0 sq.ft. | 715.0 sq.ft. | 597.53 sq.ft.,7865,2024-11-07
94195,Apartment,5300000,875.0 sq.ft. | 561.3 sq.ft.,6057,2025-02-17
99592,Apartment,10500000,623.0 sq.ft.,16853,2025-02-06
214541,Apartment,5430000,610.0 sq.ft.,8901,2024-11-07
150673,Apartment,5600000,875.0 sq.ft. | 623.0 sq.ft.,6400,2025-03-26
101248,Apartment,3200000,560.0 sq.ft. | 356.21 sq.ft.,5714,2025-02-06
188001,Apartment,5500000,875.0 sq.ft. | 623.0 sq.ft.,6285,2025-03-26
157160,Apartment,5500000,709.0 sq.ft. | 609.0 sq.ft.,7757,2025-02-05
200058,Other,5500000,950.0 sq.ft. | 597.53 sq.ft.,5789,2024-11-20
196716,Other,5300000,710.0 sq.ft. | 610.0 sq.ft.,7464,2024-11-14
220601,Other,4650000,623.0 sq.ft.,7463,2024-09-29
85776,Apartment,6500000,950.0 sq.ft. | 697.0 sq.ft.,9325,2025-03-02
175804,Apartment,6000000,950.0 sq.ft. | 697.0 sq.ft.,6315,2025-04-11
141853,Apartment,3400000,525.0 sq.ft. | 394.0 sq.ft.,6476,2025-04-23
137005,Apartment,5100000,623.0 sq.ft. | 609.0 sq.ft.,8186,2025-01-03
44080,Apartment,3400000,600.0 sq.ft. | 449.0 sq.ft.,5666,2025-03-17
113570,Apartment,5700000,710.0 sq.ft. | 610.0 sq.ft.,8028,2025-04-17
94027,Apartment,3500000,394.0 sq.ft.,8883,2025-02-14
211198,Apartment,3500000,394.0 sq.ft.,8883,2024-10-14
113366,Apartment,5400000,710.0 sq.ft. | 610.0 sq.ft.,7605,2025-04-17
174959,Apartment,3400000,623.0 sq.ft. | 350.0 sq.ft.,5457,2025-03-19
183806,Other,5200000,610.0 sq.ft.,8524,2024-11-05
134464,Apartment,3450000,342.0 sq.ft.,10087,2025-04-24
150737,Apartment,6100000,865.0 sq.ft.,7052,2025-01-22
160555,Apartment,5245000,623.0 sq.ft.,8418,2025-01-11
136173,Other,7000000,950.0 sq.ft. | 597.53 sq.ft.,11714,2025-02-03
217132,Apartment,3250000,394.0 sq.ft.,8248,2024-11-08
157162,Apartment,5300000,709.0 sq.ft. | 609.0 sq.ft.,7475,2025-02-05
220179,Apartment,2900001,342.0 sq.ft.,8479,2024-10-13
113772,Apartment,5500000,710.0 sq.ft. | 610.0 sq.ft.,7746,2025-04-17
55067,Other,6500000,950.0 sq.ft. | 697.0 sq.ft.,6842,2025-03-07
195462,Other,3300000,416.69 sq.ft.,7919,2025-04-18
218088,Apartment,4700000,950.0 sq.ft. | 900.0 sq.ft. | 597.53 sq.ft.,4947,2024-10-23
157087,Apartment,3000000,469.0 sq.ft.,6396,2025-02-05
220603,Apartment,4800000,628.0 sq.ft.,7324,2024-09-29
178022,Apartment,3500000,650.0 sq.ft. | 469.0 sq.ft.,5384,2025-04-26
40976,Apartment,3200000,650.0 sq.ft. | 469.0 sq.ft.,6823,2025-03-24
177129,Apartment,6000000,645.0 sq.ft.,9302,2025-03-31
217697,Other,3250000,469.0 sq.ft.,6929,2024-10-25
42820,Apartment,3300000,650.0 sq.ft. | 469.0 sq.ft.,7036,2025-03-24
217421,Apartment,5100000,623.0 sq.ft.,8186,2024-10-29
86131,Other,6500000,950.0 sq.ft. | 645.0 sq.ft.,6842,2025-02-23
217391,Apartment,5000000,950.0 sq.ft. | 597.53 sq.ft.,5263,2024-10-19
155533,Apartment,5400000,950.0 sq.ft. | 597.53 sq.ft.,5684,2025-01-08
100733,Apartment,5300000,710.0 sq.ft. | 610.0 sq.ft.,7464,2025-02-22
87281,Apartment,5400000,950.0 sq.ft. | 597.53 sq.ft.,5684,2025-02-20
214542,Apartment,3240000,394.0 sq.ft.,8223,2024-11-07
203198,Apartment,5250000,710.0 sq.ft.,7394,2024-11-03
149817,Apartment,3240000,394.0 sq.ft.,8223,2025-01-11
179374,Apartment,3500000,525.0 sq.ft. | 394.0 sq.ft.,6666,2025-03-26
87979,Apartment,3500000,525.0 sq.ft. | 336.96 sq.ft.,6666,2025-02-20
100302,Apartment,5800000,690.0 sq.ft.,8405,2025-03-02
139083,Apartment,5300000,950.0 sq.ft. | 697.0 sq.ft.,7604,2025-04-10
86064,Apartment,5150000,850.0 sq.ft. | 610.0 sq.ft.,6058,2025-02-18
149816,Apartment,5340000,610.0 sq.ft.,8754,2025-01-11
86229,Other,6000000,1000.0 sq.ft. | 714.0 sq.ft.,8403,2025-02-15
149472,Apartment,5300000,623.0 sq.ft.,8507,2025-03-24
99749,Apartment,3400000,394.0 sq.ft.,8629,2025-02-06
93658,Other,5700000,610.0 sq.ft.,9344,2025-02-17
220015,Apartment,6500000,800.0 sq.ft.,8500,2024-08-23
214540,Apartment,5245000,623.0 sq.ft.,8418,2024-11-07
220751,Apartment,3100000,650.0 sq.ft. | 469.0 sq.ft.,6609,2024-09-04
206149,Apartment,3300000,469.0 sq.ft.,7036,2024-10-24
149453,Other,3340000,394.0 sq.ft.,8477,2025-01-11
100938,Other,3200000,450.0 sq.ft.,7111,2025-02-20
149710,Apartment,5250000,710.0 sq.ft.,7394,2025-01-03
87486,Apartment,5500000,950.0 sq.ft. | 597.53 sq.ft.,5789,2025-02-20
145009,Apartment,5200000,950.0 sq.ft. | 597.53 sq.ft.,5473,2025-02-02
214539,Other,3340000,394.0 sq.ft.,8477,2024-11-10
204351,Other,5000000,623.0 sq.ft.,8025,2024-11-26
136419,Apartment,5000000,950.0 sq.ft. | 610.0 sq.ft.,8196,2025-01-24
218389,Apartment,4600000,950.0 sq.ft. | 850.0 sq.ft. | 597.53 sq.ft.,4842,2024-10-12
217400,Apartment,3000000,600.0 sq.ft. | 469.0 sq.ft.,5000,2024-10-18
137008,Apartment,3050000,394.0 sq.ft.,7741,2025-01-03
207926,Other,3500000,525.0 sq.ft. | 336.96 sq.ft.,6666,2024-11-20
153844,Apartment,5400000,950.0 sq.ft. | 597.53 sq.ft.,9037,2024-12-17
215239,Apartment,3400000,394.0 sq.ft.,8629,2024-10-23
217058,Other,3300000,416.69 sq.ft.,7919,2024-11-10
193360,Apartment,3499000,650.0 sq.ft. | 469.0 sq.ft.,5383,2025-04-05
139011,Other,5500000,623.0 sq.ft.,8828,2025-01-28
214543,Apartment,5340000,610.0 sq.ft.,8754,2024-11-07
113739,Apartment,5200000,710.0 sq.ft. | 610.0 sq.ft.,7323,2025-04-17
171054,Apartment,5600000,645.0 sq.ft.,8682,2025-03-31
86069,Apartment,5400000,875.0 sq.ft. | 561.3 sq.ft.,6171,2025-02-18
218299,Apartment,4550000,950.0 sq.ft. | 850.0 sq.ft. | 597.53 sq.ft.,4789,2024-10-13
100650,Other,6000000,710.0 sq.ft. | 610.0 sq.ft.,9836,2025-02-15
209829,Apartment,3100000,500.0 sq.ft. | 450.0 sq.ft. | 394.0 sq.ft.,7868,2024-11-07
133829,Apartment,5600000,950.0 sq.ft. | 610.0 sq.ft.,5894,2025-04-24
202085,Apartment,5300000,950.0 sq.ft. | 610.0 sq.ft.,5578,2024-11-22
137006,Apartment,5050000,623.0 sq.ft. | 609.0 sq.ft.,8105,2025-01-03
12962,Apartment,5500000,950.0 sq.ft. | 697.0 sq.ft.,5789,2025-05-03
97346,Apartment,3500000,525.0 sq.ft. | 394.0 sq.ft.,6666,2025-02-22
136418,Apartment,5200000,950.0 sq.ft. | 610.0 sq.ft.,8524,2025-01-24
186267,Apartment,3500000,650.0 sq.ft. | 469.0 sq.ft.,5384,2025-03-31
217650,Apartment,4500000,875.0 sq.ft. | 850.0 sq.ft. | 561.3 sq.ft.,5142,2024-10-24
97347,Apartment,3400000,525.0 sq.ft. | 394.0 sq.ft.,6476,2025-02-22
97349,Apartment,5600000,710.0 sq.ft. | 610.0 sq.ft.,7887,2025-02-22
87487,Apartment,5500000,623.0 sq.ft. | 597.53 sq.ft.,8828,2025-02-20
170328,Apartment,5600000,950.0 sq.ft. | 697.0 sq.ft.,5894,2025-04-26
61989,Apartment,5350000,709.0 sq.ft. | 609.0 sq.ft.,7545,2025-04-04
217684,Apartment,4800000,1000.0 sq.ft. | 950.0 sq.ft. | 597.53 sq.ft.,4800,2024-10-24
157161,Apartment,5400000,709.0 sq.ft. | 609.0 sq.ft.,7616,2025-02-05
100254,Other,6000000,950.0 sq.ft. | 697.0 sq.ft.,8608,2025-03-01
134100,Apartment,5250000,950.0 sq.ft. | 697.0 sq.ft.,5526,2025-04-22
163005,Apartment,5000000,623.0 sq.ft. | 550.0 sq.ft.,8025,2025-01-03
113762,Apartment,3700000,525.0 sq.ft. | 394.0 sq.ft.,7047,2025-04-17
90027,Apartment,5100000,875.0 sq.ft. | 561.3 sq.ft.,5828,2025-02-17
220606,Apartment,4450000,950.0 sq.ft. | 610.0 sq.ft.,4684,2024-09-29
187200,Apartment,4850000,950.0 sq.ft. | 710.0 sq.ft. | 597.53 sq.ft.,8116,2024-11-25
97351,Apartment,5400000,710.0 sq.ft. | 610.0 sq.ft.,7605,2025-02-22
190763,Other,5500000,623.0 sq.ft.,8828,2024-11-04
137046,Other,7000000,950.0 sq.ft. | 697.0 sq.ft.,7368,2025-04-23
99593,Apartment,10000000,623.0 sq.ft.,16051,2025-02-06
160553,Apartment,5430000,610.0 sq.ft.,8901,2025-01-11
186202,Apartment,3900000,650.0 sq.ft. | 469.0 sq.ft.,6000,2025-03-31
161306,Apartment,3000000,394.0 sq.ft.,7614,2024-12-20
220621,Apartment,4900000,623.0 sq.ft.,6741,2024-09-29
162323,Other,5600000,950.0 sq.ft. | 610.0 sq.ft.,5894,2025-01-23
70554,Apartment,5400000,950.0 sq.ft. | 697.0 sq.ft.,5684,2025-04-10
206155,Other,4850000,610.0 sq.ft.,7950,2024-10-16
113375,Apartment,5600000,710.0 sq.ft. | 610.0 sq.ft.,7887,2025-04-17
219552,Other,4600000,950.0 sq.ft. | 597.53 sq.ft.,7698,2024-11-14
217495,Other,3000000,394.0 sq.ft.,7614,2024-11-03
97350,Apartment,5500000,710.0 sq.ft. | 610.0 sq.ft.,7746,2025-02-22
193631,Apartment,5599999,950.0 sq.ft. | 697.0 sq.ft.,5894,2025-04-26
97348,Apartment,3300000,525.0 sq.ft. | 394.0 sq.ft.,6285,2025-02-22
157163,Apartment,5200000,710.0 sq.ft. | 609.0 sq.ft.,7323,2025-02-05
218624,Other,2950000,525.0 sq.ft. | 336.96 sq.ft.,5619,2024-11-08
99591,Apartment,10200000,623.0 sq.ft.,16372,2025-02-06
41606,Apartment,5200000,623.0 sq.ft.,8346,2025-03-24
217016,Apartment,3250000,560.0 sq.ft. | 421.0 sq.ft. | 356.21 sq.ft.,9123,2024-11-12
137005,Other,6000000,950.0 sq.ft. | 697.0 sq.ft.,6315,2025-04-18
17200,Other,5700000,610.0 sq.ft.,9344,2025-04-24
