posted_on,rate_sqft,period
2024-06,13260.125,Jun-24
2024-07,12079.967741935483,Jul-24
2024-08,12611.374100719424,Aug-24
2024-09,14060.332268370606,Sep-24
2024-10,14101.70025867644,Oct-24
2024-11,13923.601316064342,Nov-24
2024-12,14503.560467769537,Dec-24
2025-01,14471.006114443931,Jan-25
2025-02,14477.273500179619,Feb-25
2025-03,14523.630352549553,Mar-25
2025-04,14339.359920343779,Apr-25
2025-05,14640.315057915059,May-25
