property_category,posted_on,price_value
Plot,2024-10-14,29192857.14285714
Plot,2024-10-21,24262968.5
Plot,2024-10-28,31000000.0
Plot,2024-11-04,13330000.0
Plot,2024-11-11,38217700.0
Plot,2024-11-18,30966666.666666668
Plot,2024-11-25,27960000.0
Plot,2024-12-09,42400000.0
Plot,2024-12-23,34833333.333333336
Plot,2024-12-30,17000000.0
Plot,2025-01-06,19333333.333333332
Plot,2025-01-13,30660232.272727273
Plot,2025-01-20,37075000.0
Plot,2025-01-27,19571428.57142857
Plot,2025-02-10,21476444.4
Plot,2025-02-17,37244444.44444445
Plot,2025-02-24,38840000.0
Plot,2025-03-03,42450000.0
Plot,2025-03-10,88666666.66666667
Plot,2025-03-17,26225000.0
Plot,2025-03-24,28466666.666666668
Plot,2025-03-31,10866666.666666666
Plot,2025-04-07,24116666.666666668
Plot,2025-04-14,125566666.66666667
Plot,2025-04-21,45376666.666666664
Plot,2025-04-28,49900000.0
Studio,2024-08-19,13500000.0
Studio,2024-09-23,36900000.0
Studio,2024-09-30,66080000.0
Studio,2024-10-07,47960000.0
Studio,2024-10-14,60195414.28571428
Studio,2024-10-21,51506666.666666664
Studio,2024-10-28,93790000.0
Studio,2024-11-04,39230769.23076923
Studio,2024-11-11,27282352.94117647
Studio,2024-11-18,44487083.333333336
Studio,2024-11-25,7950000.0
Studio,2024-12-09,13750000.0
Studio,2024-12-16,19566667.0
Studio,2024-12-23,29750000.0
Studio,2024-12-30,25925000.0
Studio,2025-01-06,24500000.0
Studio,2025-01-13,50977500.0
Studio,2025-01-20,50000000.0
Studio,2025-01-27,35900000.0
Studio,2025-02-03,26333333.333333332
Studio,2025-02-10,30900000.0
Studio,2025-02-17,36768000.0
Studio,2025-02-24,33570000.0
Studio,2025-03-03,42505166.666666664
Studio,2025-03-10,30722857.14285714
Studio,2025-03-17,50206250.0
Studio,2025-03-24,44400000.0
Studio,2025-03-31,24253750.0
Studio,2025-04-07,34955555.55555555
Studio,2025-04-14,34481818.18181818
Studio,2025-04-21,25314444.444444444
Studio,2025-04-28,14200000.0
Villa,2024-08-19,60250000.0
Villa,2024-09-23,35295246.85714286
Villa,2024-09-30,48740000.0
Villa,2024-10-07,26013363.448717948
Villa,2024-10-14,43590688.63636363
Villa,2024-10-21,34304770.64
Villa,2024-10-28,27999999.75
Villa,2024-11-04,41187043.8
Villa,2024-11-11,32564927.583333332
Villa,2024-11-18,22697168.97777778
Villa,2024-11-25,40560000.0
Villa,2024-12-09,31750833.333333332
Villa,2024-12-16,36991377.27272727
Villa,2024-12-23,44857142.85714286
Villa,2024-12-30,35737556.75
Villa,2025-01-06,50108299.96
Villa,2025-01-13,38960030.8
Villa,2025-01-20,37443120.95
Villa,2025-01-27,48306798.73913044
Villa,2025-02-03,43822416.0
Villa,2025-02-10,31243653.9
